,Happiness Rank,Region,Freedom,Happiness Score,Country,Generosity,Family,Trust (Government Corruption),Health (Life Expectancy),Economy (GDP per Capita),Year
245,88,Central and Eastern Europe,0.15111,5.161,Montenegro,0.17191,0.74173,0.12721,0.63533,1.07838,2016
246,89,Latin America and Caribbean,0.52259,5.155,Dominican Republic,0.21286,0.99496,0.12372,0.57669,1.02787,2016
247,90,Middle East and Northern Africa,0.25646,5.151,Morocco,0.04053,0.38595,0.08404,0.59471,0.84058,2016
248,91,Central and Eastern Europe,0.1977,5.145,Hungary,0.099,0.93164,0.04472,0.67608,1.24142,2016
249,92,Southern Asia,0.14622,5.132,Pakistan,0.31185,0.26135,0.1388,0.40306,0.68816,2016
250,93,Middle East and Northern Africa,0.26228,5.129,Lebanon,0.23693,0.64184,0.03061,0.76171,1.12268,2016
251,94,Western Europe,0.44727,5.123,Portugal,0.11691,0.94367,0.01521,0.79363,1.27607,2016
252,95,Central and Eastern Europe,0.27668,5.121,Macedonia,0.23507,0.78236,0.07047,0.64738,1.0193,2016
253,96,Southeastern Asia,0.55954,5.061,Vietnam,0.25075,0.79117,0.11556,0.66157,0.74037,2016
254,97,Sub-Saharan Africa,0.3913,5.057,Somaliland Region,0.51479,0.75862,0.36794,0.33108,0.25558,2016
255,98,Middle East and Northern Africa,0.23553,5.045,Tunisia,0.03936,0.43165,0.0817,0.59577,0.97724,2016
256,99,Western Europe,0.05822,5.033,Greece,0.0,0.75473,0.04127,0.80029,1.24886,2016
257,100,Central and Eastern Europe,0.43408,4.996,Tajikistan,0.25998,0.75602,0.13509,0.53119,0.48835,2016
258,101,Eastern Asia,0.35972,4.907,Mongolia,0.34539,1.08983,0.03285,0.55469,0.98853,2016
259,102,Southeastern Asia,0.52168,4.876,Laos,0.43079,0.5497,0.22423,0.38291,0.68042,2016
260,103,Sub-Saharan Africa,0.27854,4.875,Nigeria,0.23219,0.64498,0.0305,0.05108,0.75216,2016
261,104,Latin America and Caribbean,0.26755,4.871,Honduras,0.2044,0.75596,0.06906,0.58383,0.69429,2016
262,105,Middle East and Northern Africa,0.22544,4.813,Iran,0.38538,0.38857,0.0557,0.64232,1.11758,2016
263,106,Sub-Saharan Africa,0.42662,4.795,Zambia,0.17866,0.6376,0.11479,0.23573,0.61202,2016
264,107,Southern Asia,0.37012,4.793,Nepal,0.3816,0.69699,0.07008,0.50073,0.44626,2016
265,108,Middle East and Northern Africa,0.17744,4.754,Palestinian Territories,0.11154,0.71629,0.10613,0.56844,0.67024,2016
266,109,Central and Eastern Europe,0.31866,4.655,Albania,0.1684,0.50163,0.05301,0.73007,0.9553,2016
267,110,Southern Asia,0.39778,4.643,Bangladesh,0.19132,0.24749,0.12583,0.52989,0.54177,2016
268,111,Sub-Saharan Africa,0.30685,4.635,Sierra Leone,0.23897,0.628,0.08196,0.0,0.36485,2016
269,112,Middle East and Northern Africa,0.24856,4.575,Iraq,0.19589,0.59205,0.13636,0.51076,1.07474,2016
270,113,Sub-Saharan Africa,0.48614,4.574,Namibia,0.07795,0.70362,0.10398,0.34745,0.93287,2016
271,114,Sub-Saharan Africa,0.42736,4.513,Cameroon,0.2268,0.62542,0.06126,0.12698,0.52497,2016
272,115,Sub-Saharan Africa,0.36703,4.508,Ethiopia,0.29522,0.37932,0.1717,0.34578,0.29283,2016
273,116,Sub-Saharan Africa,0.42483,4.459,South Africa,0.13656,0.96053,0.08415,0.18611,1.02416,2016
274,117,Southern Asia,0.50817,4.415,Sri Lanka,0.46978,0.84783,0.07964,0.62007,0.97318,2016
275,118,Southern Asia,0.40285,4.404,India,0.25028,0.29247,0.08722,0.45091,0.74036,2016
276,119,Southeastern Asia,0.42692,4.395,Myanmar,0.81971,0.69981,0.20243,0.3988,0.34112,2016
277,120,Middle East and Northern Africa,0.18847,4.362,Egypt,0.12706,0.49813,0.10393,0.52116,0.95395,2016
278,121,Central and Eastern Europe,0.14037,4.36,Armenia,0.07793,0.62477,0.03616,0.64083,0.86086,2016
279,122,Sub-Saharan Africa,0.40576,4.356,Kenya,0.41328,0.7624,0.06686,0.30147,0.52267,2016
280,123,Central and Eastern Europe,0.12859,4.324,Ukraine,0.20363,1.01413,0.01829,0.58628,0.87287,2016
281,124,Sub-Saharan Africa,0.40973,4.276,Ghana,0.21203,0.49353,0.0326,0.29681,0.63107,2016
282,125,Sub-Saharan Africa,0.15602,4.272,Congo (Kinshasa),0.25458,0.80676,0.06075,0.188,0.05661,2016
283,126,Central and Eastern Europe,0.32461,4.252,Georgia,0.06786,0.19249,0.3188,0.64035,0.83792,2016
284,127,Sub-Saharan Africa,0.37938,4.236,Congo (Brazzaville),0.12077,0.47799,0.09753,0.28212,0.77109,2016
285,128,Sub-Saharan Africa,0.31056,4.219,Senegal,0.19103,0.77416,0.11681,0.40457,0.44314,2016
286,129,Central and Eastern Europe,0.21219,4.217,Bulgaria,0.12793,0.92542,0.00615,0.67806,1.11306,2016
287,130,Sub-Saharan Africa,0.1268,4.201,Mauritania,0.22686,0.84142,0.17955,0.28639,0.61391,2016
288,131,Sub-Saharan Africa,0.25429,4.193,Zimbabwe,0.18503,0.71478,0.08582,0.1595,0.35041,2016
289,132,Sub-Saharan Africa,0.4143,4.156,Malawi,0.30968,0.147,0.07564,0.29364,0.08709,2016
290,133,Sub-Saharan Africa,0.0,4.139,Sudan,0.18077,0.81928,0.10039,0.29759,0.63069,2016
291,134,Sub-Saharan Africa,0.28098,4.121,Gabon,0.06244,0.72368,0.09314,0.3494,1.15851,2016
292,135,Sub-Saharan Africa,0.27544,4.073,Mali,0.21064,0.86333,0.13647,0.16347,0.31292,2016
293,136,Latin America and Caribbean,0.12072,4.028,Haiti,0.47958,0.29561,0.14476,0.27494,0.34097,2016
294,137,Sub-Saharan Africa,0.44089,3.974,Botswana,0.12425,0.89186,0.10769,0.34752,1.09426,2016
295,138,Sub-Saharan Africa,0.15412,3.956,Comoros,0.1827,0.60323,0.18437,0.29981,0.27509,2016
296,139,Sub-Saharan Africa,0.40663,3.916,Ivory Coast,0.20338,0.57576,0.1553,0.04476,0.55507,2016
297,140,Southeastern Asia,0.58852,3.907,Cambodia,0.40339,0.5375,0.08092,0.42494,0.55604,2016
298,141,Sub-Saharan Africa,0.00589,3.866,Angola,0.12071,0.66366,0.08434,0.04991,0.84731,2016
299,142,Sub-Saharan Africa,0.38041,3.856,Niger,0.2097,0.6053,0.17176,0.26162,0.1327,2016
300,143,Sub-Saharan Africa,0.19662,3.832,South Sudan,0.25899,0.18519,0.13015,0.15781,0.39394,2016
301,144,Sub-Saharan Africa,0.12807,3.763,Chad,0.18667,0.63178,0.04952,0.03824,0.42214,2016
302,145,Sub-Saharan Africa,0.3337,3.739,Burkina Faso,0.24353,0.63054,0.12533,0.21297,0.31995,2016
303,145,Sub-Saharan Africa,0.43653,3.739,Uganda,0.27102,0.90981,0.06442,0.19625,0.34719,2016
304,147,Middle East and Northern Africa,0.2287,3.724,Yemen,0.09821,0.47493,0.05892,0.31048,0.57939,2016
305,148,Sub-Saharan Africa,0.13684,3.695,Madagascar,0.2204,0.46115,0.07506,0.37109,0.27954,2016
306,149,Sub-Saharan Africa,0.3176,3.666,Tanzania,0.31472,0.77623,0.05099,0.357,0.47155,2016
307,150,Sub-Saharan Africa,0.25748,3.622,Liberia,0.24063,0.50353,0.04852,0.23165,0.10706,2016
308,151,Sub-Saharan Africa,0.30953,3.607,Guinea,0.29914,0.3109,0.1192,0.18829,0.22415,2016
309,152,Sub-Saharan Africa,0.5432,3.515,Rwanda,0.23552,0.61586,0.50521,0.31865,0.32846,2016
310,153,Sub-Saharan Africa,0.39747,3.484,Benin,0.2018,0.10419,0.06681,0.21028,0.39499,2016
311,154,Southern Asia,0.1643,3.36,Afghanistan,0.31268,0.11037,0.07112,0.17344,0.38227,2016
312,155,Sub-Saharan Africa,0.34678,3.303,Togo,0.17517,0.0,0.11587,0.24811,0.28123,2016
313,156,Middle East and Northern Africa,0.06912,3.069,Syria,0.48397,0.14866,0.17233,0.62994,0.74719,2016
314,157,Sub-Saharan Africa,0.0432,2.905,Burundi,0.2029,0.23442,0.09419,0.15747,0.06831,2016
315,1,Western Europe,0.635422587394714,7.53700017929077,Norway,0.36201223731041,1.53352355957031,0.315963834524155,0.796666502952576,1.61646318435669,2017
316,2,Western Europe,0.626006722450256,7.52199983596802,Denmark,0.355280488729477,1.55112159252167,0.40077006816864,0.792565524578094,1.48238301277161,2017
317,3,Western Europe,0.627162635326385,7.50400018692017,Iceland,0.475540220737457,1.6105740070343,0.153526559472084,0.833552122116089,1.480633020401,2017
318,4,Western Europe,0.620070576667786,7.49399995803833,Switzerland,0.290549278259277,1.51691174507141,0.367007285356522,0.858131289482117,1.56497955322266,2017
319,5,Western Europe,0.617950856685638,7.4689998626709,Finland,0.24548277258873,1.5402467250824,0.38261154294014,0.80915766954422,1.44357192516327,2017
320,6,Western Europe,0.585384488105774,7.3769998550415,Netherlands,0.470489829778671,1.42893922328949,0.282661825418472,0.810696125030518,1.50394463539124,2017
321,7,North America,0.611100912094116,7.31599998474121,Canada,0.435539722442627,1.48134899139404,0.287371516227722,0.83455765247345,1.47920441627502,2017
322,8,Australia and New Zealand,0.614062130451202,7.31400012969971,New Zealand,0.500005125999451,1.54819512367249,0.382816702127457,0.816759705543518,1.40570604801178,2017
323,9,Western Europe,0.612924098968506,7.28399991989136,Sweden,0.385399252176285,1.47816216945648,0.384398728609085,0.830875158309937,1.49438726902008,2017
324,10,Australia and New Zealand,0.601607382297516,7.28399991989136,Australia,0.477699249982834,1.51004195213318,0.301183730363846,0.84388679265976,1.484414935112,2017
325,11,Middle East and Northern Africa,0.405988603830338,7.21299982070923,Israel,0.330082654953003,1.37628996372223,0.0852421000599861,0.83840399980545,1.37538242340088,2017
326,12,Latin America and Caribbean,0.580131649971008,7.0789999961853,Costa Rica,0.214613229036331,1.41640365123749,0.100106589496136,0.759509265422821,1.10970628261566,2017
327,13,Western Europe,0.567766189575195,7.00600004196167,Austria,0.316472321748734,1.4599449634552,0.221060365438461,0.815328419208527,1.48709726333618,2017
328,14,North America,0.505740523338318,6.99300003051758,United States,0.392578780651093,1.41992056369781,0.135638788342476,0.77428662776947,1.54625928401947,2017
329,15,Western Europe,0.573110342025757,6.97700023651123,Ireland,0.42785832285881,1.55823111534119,0.29838815331459,0.80978262424469,1.53570663928986,2017
330,16,Western Europe,0.562511384487152,6.95100021362305,Germany,0.336269170045853,1.47252035140991,0.276731938123703,0.798950731754303,1.48792338371277,2017
331,17,Western Europe,0.539770722389221,6.89099979400635,Belgium,0.231503337621689,1.46231269836426,0.251343131065369,0.818091869354248,1.46378076076508,2017
332,18,Western Europe,0.59662789106369,6.86299991607666,Luxembourg,0.283180981874466,1.45758366584778,0.31883442401886,0.845089495182037,1.74194359779358,2017
333,19,Western Europe,0.508190035820007,6.71400022506714,United Kingdom,0.492774158716202,1.49646008014679,0.265428066253662,0.805335938930511,1.44163393974304,2017
334,20,Latin America and Caribbean,0.376895278692245,6.65199995040894,Chile,0.326662421226501,1.28402495384216,0.0822879821062088,0.819479703903198,1.25278460979462,2017
335,21,Middle East and Northern Africa,0.60834527015686,6.64799976348877,United Arab Emirates,0.3609419465065,1.26641023159027,0.324489563703537,0.726798236370087,1.62634336948395,2017
336,22,Latin America and Caribbean,0.437453746795654,6.63500022888184,Brazil,0.16234989464283,1.43130600452423,0.111092761158943,0.616552352905273,1.10735321044922,2017
337,23,Central and Eastern Europe,0.490946173667908,6.60900020599365,Czech Republic,0.0881067588925362,1.43388521671295,0.0368729270994663,0.754444003105164,1.35268235206604,2017
338,24,Latin America and Caribbean,0.494519203901291,6.59899997711182,Argentina,0.109457060694695,1.44045114517212,0.059739887714386,0.695137083530426,1.18529546260834,2017
339,25,Latin America and Caribbean,0.412730008363724,6.57800006866455,Mexico,0.120990432798862,1.210862159729,0.132774114608765,0.709978997707367,1.15318381786346,2017
340,26,Southeastern Asia,0.549840569496155,6.57200002670288,Singapore,0.345965981483459,1.35381436347961,0.46430778503418,0.949492394924164,1.69227766990662,2017
341,27,Western Europe,0.588767051696777,6.52699995040894,Malta,0.574730575084686,1.48841166496277,0.153066068887711,0.821944236755371,1.34327983856201,2017
342,28,Latin America and Caribbean,0.57939225435257,6.4539999961853,Uruguay,0.175096929073334,1.41222786903381,0.178061872720718,0.719216823577881,1.21755969524384,2017
343,29,Latin America and Caribbean,0.531310617923737,6.4539999961853,Guatemala,0.283488392829895,1.25558519363403,0.0772232785820961,0.540239989757538,0.872001945972443,2017
344,30,Latin America and Caribbean,0.550026834011078,6.4520001411438,Panama,0.21055693924427,1.37319254875183,0.070983923971653,0.706156134605408,1.23374843597412,2017
345,31,Western Europe,0.470222115516663,6.44199991226196,France,0.129762306809425,1.38777685165405,0.172502428293228,0.844465851783752,1.43092346191406,2017
346,32,Southeastern Asia,0.580200731754303,6.42399978637695,Thailand,0.572123110294342,1.42579245567322,0.0316127352416515,0.647239029407501,1.12786877155304,2017
347,33,-,0.361466586589813,6.42199993133545,Taiwan Province of China,0.258360475301743,1.38456535339355,0.0638292357325554,0.793984234333038,1.43362653255463,2017
348,34,Western Europe,0.408781230449677,6.40299987792969,Spain,0.190133571624756,1.53209090232849,0.0709140971302986,0.888960599899292,1.38439786434174,2017
349,35,Middle East and Northern Africa,0.604130983352661,6.375,Qatar,0.330473870038986,1.27429687976837,0.439299255609512,0.710098087787628,1.87076568603516,2017
350,36,Latin America and Caribbean,0.477487415075302,6.35699987411499,Colombia,0.149014472961426,1.4021829366684,0.0466687418520451,0.595027923583984,1.07062232494354,2017
351,37,Middle East and Northern Africa,0.449750572443008,6.3439998626709,Saudi Arabia,0.147616013884544,1.28667759895325,0.27343225479126,0.590148329734802,1.53062355518341,2017
352,38,Latin America and Caribbean,0.518630743026733,6.16800022125244,Trinidad and Tobago,0.325296461582184,1.3802285194397,0.0089648161083459,0.519983291625977,1.36135590076447,2017
353,39,Middle East and Northern Africa,0.496337592601776,6.10500001907349,Kuwait,0.228289797902107,1.25969874858856,0.215159550309181,0.632105708122253,1.63295245170593,2017
354,40,Central and Eastern Europe,0.295817464590073,6.09800004959106,Slovakia,0.136544480919838,1.50505924224854,0.0242108516395092,0.712732911109924,1.32539355754852,2017
355,41,Middle East and Northern Africa,0.536746919155121,6.08699989318848,Bahrain,0.172668486833572,1.32311046123505,0.257042169570923,0.653133034706116,1.48841226100922,2017
356,42,Southeastern Asia,0.402264982461929,6.08400011062622,Malaysia,0.416608929634094,1.28464603424072,0.0656007081270218,0.618784427642822,1.29121541976929,2017
357,43,Latin America and Caribbean,0.447551846504211,6.07100009918213,Nicaragua,0.301674216985703,1.28721570968628,0.130687981843948,0.653095960617065,0.737299203872681,2017
358,44,Latin America and Caribbean,0.4551981985569,6.00799989700317,Ecuador,0.150112465023994,1.28616881370544,0.140134647488594,0.685636222362518,1.00082039833069,2017
359,45,Latin America and Caribbean,0.432452529668808,6.00299978256226,El Salvador,0.0782579854130745,1.18212509155273,0.0899809598922729,0.596018552780151,0.909784495830536,2017
360,46,Central and Eastern Europe,0.520342111587524,5.97300004959106,Poland,0.158465966582298,1.44571197032928,0.0593078061938286,0.699475347995758,1.29178786277771,2017
361,47,Central and Eastern Europe,0.658248662948608,5.97100019454956,Uzbekistan,0.415983647108078,1.54896914958954,0.246528223156929,0.498272627592087,0.786441087722778,2017
362,48,Western Europe,0.256450712680817,5.96400022506714,Italy,0.17278964817524,1.44492328166962,0.0280280914157629,0.853144347667694,1.39506661891937,2017
363,49,Central and Eastern Europe,0.373783111572266,5.96299982070923,Russia,0.0522638224065304,1.46928238868713,0.0329628810286522,0.547349333763123,1.28177809715271,2017
364,50,-,0.547509372234344,5.95599985122681,Belize,0.240015640854836,1.08141779899597,0.0965810716152191,0.450191766023636,0.907975316047668,2017
365,51,Eastern Asia,0.505625545978546,5.92000007629395,Japan,0.12057276815176,1.43633782863617,0.163760736584663,0.913475871086121,1.41691517829895,2017
366,52,Central and Eastern Europe,0.234231784939766,5.90199995040894,Lithuania,0.010164656676352,1.47351610660553,0.0118656428530812,0.62894994020462,1.31458234786987,2017
367,53,Middle East and Northern Africa,0.233335807919502,5.87200021743774,Algeria,0.0694366469979286,1.1462174654007,0.146096110343933,0.617584645748138,1.09186446666718,2017
368,54,Central and Eastern Europe,0.325707912445068,5.84999990463257,Latvia,0.153074786067009,1.40471494197845,0.0738427266478539,0.638566970825195,1.26074862480164,2017
369,55,Eastern Asia,0.257921665906906,5.83799982070923,South Korea,0.206674367189407,1.12827444076538,0.0632826685905457,0.900214076042175,1.40167844295502,2017
370,56,Central and Eastern Europe,0.240729048848152,5.83799982070923,Moldova,0.208779126405716,1.25182557106018,0.0100912861526012,0.589465200901031,0.728870630264282,2017
371,57,Central and Eastern Europe,0.457003742456436,5.82499980926514,Romania,0.133519917726517,1.15009129047394,0.00438790069893,0.685158312320709,1.21768391132355,2017
372,58,Latin America and Caribbean,0.558732926845551,5.82299995422363,Bolivia,0.22556072473526,1.22761905193329,0.0604777261614799,0.473630249500275,0.833756566047668,2017
373,59,Central and Eastern Europe,0.41827192902565,5.82200002670288,Turkmenistan,0.24992498755455,1.49314916133881,0.259270340204239,0.437726080417633,1.13077676296234,2017
374,60,Central and Eastern Europe,0.437454283237457,5.81899976730347,Kazakhstan,0.201964423060417,1.38436901569366,0.119282886385918,0.606041550636292,1.28455626964569,2017
375,61,Western Europe,0.471203625202179,5.80999994277954,North Cyprus,0.266845703125,1.18630337715149,0.155353352427483,0.834647238254547,1.3469113111496,2017
376,62,Central and Eastern Europe,0.572575807571411,5.75799989700317,Slovenia,0.242649093270302,1.45251882076263,0.0451289787888527,0.790828227996826,1.3412059545517,2017
377,63,Latin America and Caribbean,0.450002878904343,5.71500015258789,Peru,0.126819714903831,1.21877038478851,0.0470490865409374,0.630166113376617,1.03522527217865,2017
378,64,Sub-Saharan Africa,0.491247326135635,5.62900018692017,Mauritius,0.360933750867844,1.20956099033356,0.0421815551817417,0.638007462024689,1.18939554691315,2017
379,65,Western Europe,0.355111539363861,5.62099981307983,Cyprus,0.271254301071167,1.13136327266693,0.0412379764020443,0.84471470117569,1.35593807697296,2017
380,66,Central and Eastern Europe,0.479131430387497,5.61100006103516,Estonia,0.0988908112049103,1.47667109966278,0.183248922228813,0.695168316364288,1.32087934017181,2017
381,67,Central and Eastern Europe,0.295400261878967,5.56899976730347,Belarus,0.15513750910759,1.44494521617889,0.156313821673393,0.637714266777039,1.15655755996704,2017
382,68,Middle East and Northern Africa,0.465733230113983,5.52500009536743,Libya,0.152073666453362,1.35756433010101,0.0926102101802826,0.520169019699097,1.10180306434631,2017
383,69,Middle East and Northern Africa,0.300740599632263,5.5,Turkey,0.0466930419206619,1.33775317668915,0.0996715798974037,0.637605607509613,1.19827437400818,2017
384,70,Latin America and Caribbean,0.473507791757584,5.49300003051758,Paraguay,0.224150657653809,1.50728487968445,0.091065913438797,0.579250693321228,0.932537317276001,2017
385,71,-,0.490968644618988,5.47200012207031,"Hong Kong S.A.R., China",0.374465793371201,1.26279091835022,0.293933749198914,0.943062424659729,1.55167484283447,2017
386,72,Southeastern Asia,0.585214674472809,5.42999982833862,Philippines,0.193513423204422,1.25391757488251,0.0993318930268288,0.468009054660797,0.85769921541214,2017
387,73,Central and Eastern Europe,0.208715528249741,5.39499998092651,Serbia,0.220125883817673,1.25818979740143,0.0409037806093693,0.65078467130661,1.06931757926941,2017
388,74,Middle East and Northern Africa,0.418421149253845,5.33599996566772,Jordan,0.172170460224152,1.23908889293671,0.11980327218771,0.604590058326721,0.991012394428253,2017
389,75,Central and Eastern Europe,0.175863519310951,5.32399988174438,Hungary,0.0784016624093056,1.34313309192657,0.0366369374096394,0.687763452529907,1.2860119342804,2017
390,76,Latin America and Caribbean,0.474307239055634,5.31099987030029,Jamaica,0.233818337321281,1.36821806430817,0.0552677810192108,0.641022384166718,0.925579309463501,2017
391,77,Central and Eastern Europe,0.255772292613983,5.29300022125244,Croatia,0.248002976179123,0.96798300743103,0.0431031100451946,0.701288521289825,1.22255623340607,2017
392,78,Central and Eastern Europe,0.260287940502167,5.27899980545044,Kosovo,0.319931447505951,1.13785350322723,0.0574716180562973,0.541452050209045,0.951484382152557,2017
393,79,Eastern Asia,0.472787708044052,5.27299976348877,China,0.0288068410009146,1.16083741188049,0.0227942746132612,0.741415500640869,1.08116579055786,2017
394,80,Southern Asia,0.23521526157856,5.26900005340576,Pakistan,0.315446019172668,0.672690689563751,0.124348066747189,0.402047783136368,0.72688353061676,2017
395,81,Southeastern Asia,0.443323463201523,5.26200008392334,Indonesia,0.611704587936401,1.27444469928741,0.0153171354904771,0.492345720529556,0.995538592338562,2017
396,82,Latin America and Caribbean,0.153997123241425,5.25,Venezuela,0.0650196298956871,1.43133759498596,0.0644911229610443,0.617144227027893,1.12843120098114,2017
397,83,Central and Eastern Europe,0.194989055395126,5.23699998855591,Montenegro,0.197911024093628,1.23837649822235,0.0881741940975189,0.667464673519135,1.12112903594971,2017
398,84,Middle East and Northern Africa,0.408158332109451,5.2350001335144,Morocco,0.0322099551558495,0.774864435195923,0.0877631828188896,0.59771066904068,0.878114581108093,2017
399,85,Central and Eastern Europe,0.398155838251114,5.23400020599365,Azerbaijan,0.0452693402767181,1.15240025520325,0.180987507104874,0.540775775909424,1.15360176563263,2017
400,86,Latin America and Caribbean,0.55258983373642,5.23000001907349,Dominican Republic,0.186967849731445,1.40241670608521,0.113945253193378,0.574873745441437,1.07937383651733,2017
401,87,Western Europe,0.0957312509417534,5.22700023651123,Greece,0.0,1.23941457271576,0.04328977689147,0.810198903083801,1.28948748111725,2017
402,88,Middle East and Northern Africa,0.288515985012054,5.22499990463257,Lebanon,0.264450758695602,1.12962424755096,0.037513829767704,0.735081076622009,1.07498753070831,2017
403,89,Western Europe,0.498465299606323,5.19500017166138,Portugal,0.0951027125120163,1.36704301834106,0.0158694516867399,0.795843541622162,1.3151752948761,2017
404,90,Central and Eastern Europe,0.204403176903725,5.18200016021729,Bosnia and Herzegovina,0.328867495059967,1.0693359375,0.0,0.705186307430267,0.982409417629242,2017
405,91,Latin America and Caribbean,0.348079860210419,5.18100023269653,Honduras,0.236188873648643,1.14394497871399,0.0733454525470734,0.582569479942322,0.730573117733002,2017
406,92,Central and Eastern Europe,0.325905978679657,5.17500019073486,Macedonia,0.25376096367836,1.20789301395416,0.0602777935564518,0.644948184490204,1.06457793712616,2017
407,93,-,0.602126955986023,5.15100002288818,Somalia,0.291631311178207,0.721151351928711,0.282410323619843,0.113989137113094,0.0226431842893362,2017
408,94,Southeastern Asia,0.571055591106415,5.07399988174438,Vietnam,0.234968051314354,1.27749133110046,0.0876332372426987,0.652168989181519,0.788547575473785,2017
409,95,Sub-Saharan Africa,0.394952565431595,5.07399988174438,Nigeria,0.230947196483612,1.21577048301697,0.0261215660721064,0.0569157302379608,0.783756256103516,2017
410,96,Central and Eastern Europe,0.471566706895828,5.04099988937378,Tajikistan,0.248997643589973,1.27146327495575,0.146377146244049,0.529235124588013,0.524713635444641,2017
411,97,Southern Asia,0.501537680625916,5.01100015640259,Bhutan,0.474054545164108,1.34012651443481,0.173380389809608,0.495879292488098,0.885416388511658,2017
412,98,Central and Eastern Europe,0.454943388700485,5.00400018692017,Kyrgyzstan,0.42858037352562,1.39423859119415,0.0394391790032387,0.553457796573639,0.596220076084137,2017
413,99,Southern Asia,0.440305948257446,4.96199989318848,Nepal,0.394096165895462,1.17928326129913,0.0729755461215973,0.504130780696869,0.479820191860199,2017
414,100,Eastern Asia,0.394143968820572,4.95499992370605,Mongolia,0.338464230298996,1.4930112361908,0.0329022891819477,0.557783484458923,1.02723586559296,2017
415,101,Sub-Saharan Africa,0.479246735572815,4.8289999961853,South Africa,0.139362379908562,1.38478863239288,0.0725094974040985,0.187080070376396,1.05469870567322,2017
416,102,Middle East and Northern Africa,0.289680689573288,4.80499982833862,Tunisia,0.0496933571994305,0.868351459503174,0.0867231488227844,0.613212049007416,1.00726580619812,2017
417,103,Middle East and Northern Africa,0.25471106171608,4.77500009536743,Palestinian Territories,0.114173173904419,1.15564715862274,0.0892826020717621,0.565666973590851,0.716249227523804,2017
418,104,Middle East and Northern Africa,0.282110154628754,4.7350001335144,Egypt,0.128631442785263,0.997471392154694,0.114381365478039,0.520187258720398,0.989701807498932,2017
419,105,Central and Eastern Europe,0.289231717586517,4.71400022506714,Bulgaria,0.113177694380283,1.43437945842743,0.0110515309497714,0.708217680454254,1.1614590883255,2017
420,106,Sub-Saharan Africa,0.318697690963745,4.70900011062622,Sierra Leone,0.293040901422501,0.984136044979095,0.0710951760411263,0.0055647538974881,0.36842092871666,2017
421,107,Sub-Saharan Africa,0.430388748645782,4.69500017166138,Cameroon,0.236298456788063,0.946018218994141,0.0513066314160824,0.132892116904259,0.564305365085602,2017
422,108,Middle East and Northern Africa,0.249322608113289,4.69199991226196,Iran,0.387242913246155,0.711551249027252,0.048761073499918,0.639333188533783,1.15687310695648,2017
423,109,Central and Eastern Europe,0.381498634815216,4.64400005340576,Albania,0.201312944293022,0.803685247898102,0.0398642159998417,0.731159746646881,0.996192753314972,2017
424,110,Southern Asia,0.478356659412384,4.60799980163574,Bangladesh,0.172255352139473,0.735131740570068,0.123717859387398,0.533241033554077,0.586682975292206,2017
425,111,-,0.520303547382355,4.57399988174438,Namibia,0.0771337449550629,1.0984708070755,0.0931469723582268,0.33861181139946,0.964434325695038,2017
426,112,Sub-Saharan Africa,0.452763766050339,4.55299997329712,Kenya,0.444860309362411,1.06795072555542,0.0646413192152977,0.309988349676132,0.560479462146759,2017
427,113,Sub-Saharan Africa,0.480791091918945,4.55000019073486,Mozambique,0.322228103876114,0.870701014995575,0.179436385631561,0.106654435396194,0.234305649995804,2017
428,114,Southeastern Asia,0.514492034912109,4.54500007629395,Myanmar,0.838075160980225,1.12323594093323,0.188816204667091,0.397522568702698,0.367110550403595,2017
429,115,Sub-Saharan Africa,0.377922266721725,4.53499984741211,Senegal,0.183468893170357,1.17969191074371,0.115460447967052,0.409362852573395,0.479309022426605,2017
430,116,Sub-Saharan Africa,0.461603492498398,4.51399993896484,Zambia,0.249580144882202,1.00318729877472,0.0782135501503944,0.257835894823074,0.636406779289246,2017
431,117,Middle East and Northern Africa,0.288555532693863,4.49700021743774,Iraq,0.19963726401329,0.978613197803497,0.107215754687786,0.501180469989777,1.10271048545837,2017
432,118,Sub-Saharan Africa,0.312328577041626,4.46500015258789,Gabon,0.0437853783369064,1.1556202173233,0.0760467872023582,0.356578588485718,1.1982102394104,2017
433,119,Sub-Saharan Africa,0.408842742443085,4.46000003814697,Ethiopia,0.312650740146637,0.86466920375824,0.165455713868141,0.353409707546234,0.339233845472336,2017
434,120,Southern Asia,0.561213254928589,4.44000005722046,Sri Lanka,0.490863561630249,1.25997638702393,0.0736539661884308,0.625130832195282,1.00985014438629,2017
435,121,Central and Eastern Europe,0.198303267359734,4.37599992752075,Armenia,0.0834880918264389,1.00748372077942,0.0266744215041399,0.637524425983429,0.900596737861633,2017
436,122,Southern Asia,0.469987004995346,4.31500005722046,India,0.231538489460945,0.754372596740723,0.0922268852591515,0.455427616834641,0.792221248149872,2017
437,123,Sub-Saharan Africa,0.0960980430245399,4.29199981689453,Mauritania,0.201870024204254,1.2720308303833,0.136957004666328,0.285349279642105,0.648457288742065,2017
438,124,Sub-Saharan Africa,0.435025870800018,4.29099988937378,Congo (Brazzaville),0.120852127671242,0.832044363021851,0.0796181336045265,0.28995743393898,0.808964252471924,2017
439,125,Central and Eastern Europe,0.309410035610199,4.28599977493286,Georgia,0.0540088154375553,0.57061493396759,0.251666635274887,0.649546980857849,0.950612664222717,2017
